date,humidity
2020/10/13,93.46296296
2020/10/14,92.4893617
2020/10/15,78.72
2020/10/16,59.2173913
2020/10/17,89.8
2020/10/18,90.125
2020/10/19,96.6440678
2020/10/20,92.17307692
2020/10/21,85.10344828
2020/10/22,70.73913043
2020/10/23,79.6
2020/10/24,84.54347826
2020/10/25,78.13513514
2020/10/26,48.60869565
2020/10/27,72.625
2020/10/28,77.82608696
2020/10/29,81.7
2020/10/30,96.36666667
2020/10/31,96.63793103
2020/11/1,94.55882353
2020/11/2,97.39361702
2020/11/3,94.63793103
2020/11/4,89.67241379
2020/11/5,97.20535714
2020/11/6,92.29411765
2020/11/7,83.39130435
2020/11/8,76.65217391
2020/11/9,75
2020/11/10,79.59259259
2020/11/11,88.69565217
2020/11/12,88.28
2020/11/13,92.26229508
2020/11/14,78.70833333
2020/11/15,94.2295082
2020/11/16,96.58333333
2020/11/17,87
2020/11/18,85.20588235
2020/11/19,89.48148148
2020/11/20,89.13043478
2020/11/21,92.65217391
2020/11/22,95.09756098
2020/11/23,93.5
2020/11/24,93.36538462
2020/11/25,91.93181818
2020/11/26,84.85714286
2020/11/27,81
2020/11/28,93.34782609
2020/11/29,94.3030303
2020/11/30,91.34545455
2020/12/1,93.82417582
2020/12/2,94
2020/12/3,92.33695652
2020/12/4,87.03448276
2020/12/5,85.02272727
2020/12/6,89.81081081
2020/12/7,81.03571429
2020/12/8,84.16666667
2020/12/9,92.890625
2020/12/10,92.22727273
2020/12/11,93.07272727
2020/12/12,94.59322034
2020/12/13,94.3253012
2020/12/14,92.70909091
2020/12/15,93.85454545
2020/12/16,94.3559322
2020/12/17,87.27083333
2020/12/18,87.2962963
2020/12/19,93.47142857
2020/12/20,90.90322581
2020/12/21,89.05263158
2020/12/22,91.55172414
2020/12/23,84.08695652
2020/12/24,70.26086957
2020/12/25,78.4
2020/12/26,92.29545455
2020/12/27,87.17391304
2020/12/28,89.92857143
2020/12/29,81.56521739
2020/12/30,90.06
2020/12/31,96.08641975
2021/1/1,91.75675676
2021/1/2,88.84848485
2021/1/3,84.25
2021/1/4,90.85416667
2021/1/5,78.92592593
2021/1/6,85.35897436
2021/1/7,77.75862069
2021/1/8,92.94339623
2021/1/9,74.79166667
2021/1/10,94.07228916
2021/1/11,88
2021/1/12,88.94285714
2021/1/13,96.37113402
2021/1/14,94.52941176
2021/1/15,95.47058824
2021/1/16,99.31168831
2021/1/17,92.78461538
2021/1/18,63.89285714
2021/1/19,52.125
2021/1/20,64.08695652
2021/1/21,85.25
2021/1/22,85
2021/1/23,85.23076923
2021/1/24,91.74285714
2021/1/25,88.25
2021/1/26,80.65217391
2021/1/27,87.35294118
2021/1/28,92.22916667
2021/1/29,91.78571429
2021/1/30,79.40740741
2021/1/31,83.37037037
2021/2/1,81.28205128
