date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_google_mobility,key_apple_mobility,key_numeric,key_alpha_2
2020/3/23,0,46083,2240,0,39,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/24,0,55865,2644,0,52,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/25,0,65405,3183,0,68,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/26,0,77321,4060,0,83,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/27,0,90008,4915,0,104,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/28,0,102526,5566,0,122,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/29,0,112993,6321,0,132,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/30,0,123022,7421,0,147,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/3/31,0,134017,8583,0,184,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/1,0,148288,9857,0,212,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/2,0,163671,11190,0,247,0,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/3,0,177810,12569,0,282,3451,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/4,0,189876,13796,0,323,3449,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/5,0,200144,15202,0,351,3428,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/6,0,208712,16361,0,386,3357,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/7,0,233527,17540,0,447,3267,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/8,0,247686,19043,0,506,3473,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/9,0,260850,20191,0,548,3398,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/10,0,275847,21366,0,594,2963,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/11,0,289047,22421,0,632,2978,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/12,0,299863,23323,0,676,3068,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/4/13,0,309013,24334,0,725,2621,0,0,39512223,3,3,2,4,0,2,2,3,2,1,1,82.41,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
